Temperatura maxima x Día,Temperatura minima x Día
92,68
84,62
82,69
83,48
52,46
73,54
81,64
69,41
38,21
55,23
44,21
88,65
67,5
64,24
65,49
73,52
57,36
69,49
66,37
75,44
95,8
84,52
70,67
64,49
95,66
50,47
34,15
91,72
40,22
57,31
88,73
95,75
64,44
73,45
77,61
23,5
88,68
88,66
79,49
95,52
37,31
90,54
85,65
62,41
82,57
68,52
60,52
47,26
40,27
44,37
57,5
84,54
74,43
49,41
66,42
54,31
84,56
72,27
51,45
72,59
83,68
46,27
30,11
35,15
99,62
37,29
86,52
60,52
66,48
40,27
75,5
69,43
95,71
68,4
74,44
81,39
87,7
76,58
34,2
59,51
84,69
55,38
60,5
71,56
41,37
81,64
88,58
58,38
71,49
66,33
75,5
65,51
59,44
67,44
57,31
66,41
56,4
81,53
80,58
89,67
97,73
25,-9
41,35
78,46
53,49
57,28
99,66
63,53
24,14
42,31
38,31
72,54
36,29
96,7
69,24
87,6
86,7
86,51
54,37
52,45
98,7
84,39
82,61
49,4
92,76
48,24
67,53
71,58
59,4
90,68
69,45
88,73
91,7
86,68
79,54
80,48
30,24
49,37
71,43
54,42
56,3
28,-6
98,76
82,57
77,51
58,42
60,47
71,62
86,38
64,32
54,47
29,15
82,55
75,61
36,15
93,84
74,57
86,62
77,54
100,6
80,55
87,66
84,52
87,66
54,41
45,27
68,51
15,4
91,74
93,73
56,3
63,44
77,62
89,65
89,69
38,21
64,43
82,61
77,55
60,41
86,69
69,49
91,69
74,66
90,71
87,67
48,38
44,33
65,38
52,3
77,52
62,42
37,33
91,74
64,32
35,3
51,19
75,59
78,58
84,73
38
82,65
87,61
102,67
89,59
61,39
18,-9
77,61
59,34
101,75
82,65
65,5
83,72
71,56
61,46
79,62
16,3
62,53
60,41
86,57
34,26
78,6
37,19
48,38
83,69
12,-7
29,2
97,57
70,49
65,46
102,57
58,25
70,49
48,42
69,52
84,51
94,74
64,45
73,59
86,67
63,38
48,24
99,68
63,35
78,51
33,25
90,73
80,52
46,19
71,37
92,68
67,54
85,64
76,53
60,52
69,46
49,36
62,44
66,28
83,47
41,13
94,65
83,41
89,66
32,23
53,25
75,6
41,34
57,44
23,14
49,25
70,44
79,52
64,48
88,78
36,-3
56,45
9,-3
43,24
77,55
68,42
66,32
51,31
25,16
50,33
60,46
81,66
78,5
88,44
84,49
75,46
82,61
86,67
82,67
22,2
93,67
59,31
41,32
53,48
62,35
94,7
57,36
90,8
58,5
82,57
56,22
51,27
72,52
67,56
40,25
75,47
83,55
89,6
93,71
78,62
96,64
66,49
65,54
85,65
90,62
41,37
73,5
15,-8
95,68
77,65
78,49
10,-3
73,5
91,71
90,61
55,28
88,69
69,39
35,19
73,44
75,53
90,54
66,43
90,52
67,51
62,33
74,53
78,52
76,51
82,7
73,39
41,34
68,47
58,47
68,36
34,26
58,27
88,77
72,31
78,57
41,3
55,29
63,23
102,61
105,85
63,34
56,37
54,33
75,57
93,66
93,72
95,76
90,75
84,66
60,35
83,55
84,63
75,55
95,66
71,43
55,48
46,23
73,5
96,65
40,29
91,7
89,75
77,41
77,57
74,41
37,16
52,29
50,41
96,74
55,3
69,52
33,31
67,36
82,69
78,68
75,63
85,72
51,4
65,53
64,32
63,46
29,11
87,7
101,8
97,72
46,28
15,-9
94,66
88,75
64,41
86,58
66,56
54,46
55,43
56,48
90,67
88,74
72,34
19,13
87,58
46,35
79,34
48,3
56,45
27,22
63,35
74,48
55,33
88,67
85,7
67,5
75,46
93,71
100,8
55,32
48,36
35,28
71,48
32,28
79,62
58,43
94,61
28,-6
81,7
82,55
74,37
77,52
87,8
51,33
79,65
52,36
62,54
93,68
85,48
86,63
97,64
92,68
57,3
88,73
77,48
47,29
83,63
33,17
89,66
36,17
83,69
92,71
16,2
59,47
113,81
80,61
83,6
62,48
33,26
68,35
70,48
87,79
59,36
91,69
85,71
88,62
64,51
49,26
63,35
25,9
35,32
80,42
93,71
93,77
39,24
66,47
87,71
92,63
83,56
43,24
77,57
85,64
62,28
81,68
85,71
39,36
70,56
87,54
32,22
79,59
96,58
73,37
96,72
87,72
76,47
49,42
72,36
61,46
66,32
97,64
75,38
38,3
83,68
61,41
83,46
69,51
47,4
82,61
29,7
32,5
37,5
94,69
86,72
74,51
99,7
87,61
70,55
38,31
58,44
72,44
69,38
98,72
61,47
60,55
91,65
48,19
61,42
92,7
76,56
57,48
96,72
39,3
52,27
61,25
91,77
47,23
87,59
69,46
51,38
86,69
65,41
93,73
89,74
79,67
66,45
82,65
82,57
73,62
33,28
43,39
89,57
91,64
60,37
91,64
84,66
80,48
44,31
84,69
40,35
71,37
89,69
60,4
25,17
75,3
34,12
97,68
66,37
85,59
32,25
13,-5
87,62
91,52
55,23
83,68
101,78
75,47
79,55
40,34
72,46
89,72
90,76
63,42
75,62
79,45
76,52
83,37
103,7
81,59
73,55
53,35
54,42
68,23
22,-2
59,52
61,39
75,48
86,66
86,54
37,21
80,75
82,51
86,7
67,5
82,47
72,56
62,45
98,74
45,26
60,38
67,41
93,72
78,52
93,64
51,33
83,63
81,58
55,35
88,74
49,34
54,29
66,3
51,33
51,31
90,69
76,6
66,4
90,71
67,41
53,22
91,76
67,53
86,5
63,29
64,46
35,-8
88,71
75,55
80,33
78,44
49,35
68,38
99,69
77,35
74,44
68,56
55,29
77,58
88,61
27,15
90,71
86,67
81,58
75,59
27,15
71,51
73,52
26,3
11,-18
65,38
72,46
91,65
76,66
62,41
86,71
77,54
82,48
87,76
88,57
62,36
92,74
88,47
39,24
70,6
62,36
94,63
78,53
56,42
80,67
83,57
79,55
44,17
34,4
58,33
67,44
35,31
55,42
93,48
43,23
59,44
74,63
80,43
76,48
47,34
102,75
89,7
70,43
55,45
73,65
86,59
44,3
62,35
74,58
47,31
70,4
85,8
91,65
95,75
79,65
81,64
36,1
52,27
72,34
73,46
68,55
84,69
82,56
34,22
67,46
66,37
89,77
85,64
113,79
57,46
51,38
56,34
82,48
64,41
89,7
85,61
52,36
84,66
75,26
75,56
27,12
59,21
86,56
68,52
60,44
61,26
80,51
85,52
67,38
62,48
69,36
51,41
58,27
64,39
42,32
80,63
30,24
85,72
43,28
54,27
93,75
58,52
75,45
81,67
86,71
81,48
85,56
38,34
47,3
78,44
63,42
53,33
88,52
67,41
59,24
9,-6
81,61
80,46
71,55
